measure,beat,timestamp,img
1,1,1.12,1
1,2,2.284,2
1,3,3.004,3
1,4,3.776,4
2,1,4.484,5
2,2,5.224,6
2,3,5.877375,7
2,4,6.544,8
3,1,7.265979167,9
3,2,7.964,10
3,3,8.694770833,11
3,4,9.332,12
4,1,10.107125,13
4,2,10.952,14
4,3,11.588,15
4,4,12.252,16
5,1,12.896,17
5,2,13.636,18
5,3,14.264,19
5,4,15.072,20
6,1,15.992,21
6,2,16.86977083,22
6,3,17.58,23
6,4,18.364,24
7,1,19.135375,25
7,2,19.756,26
7,3,20.432,27
7,4,21.13064583,28
8,1,21.80975,29
8,2,22.552,30
8,3,23.21022917,31
8,4,23.896,32
9,1,24.52,33
9,2,25.24,34
9,3,25.94,35
9,4,26.88,36
10,1,27.768,37
10,2,28.672,38
10,3,29.36,39
10,4,30.008,40
11,1,30.692,41
11,2,31.36,42
11,3,31.988,43
11,4,32.687875,44
12,1,33.45554167,45
12,2,34.23241667,46
12,3,34.89441667,47
12,4,35.688,48
13,1,36.4315625,49
13,2,37.092,50
13,3,37.792,51
13,4,38.476,52
14,1,39.088,53
14,2,39.872,54
14,3,40.492,55
14,4,41.128,56
15,1,41.696,57
15,2,42.36,58
15,3,43.012,59
15,4,43.824,60
16,1,44.59185417,61
16,2,45.348,62
16,3,46.02922917,63
16,4,46.692,64
17,1,47.396,65
17,2,48.124,66
17,3,48.936,67
17,4,49.89072917,68
18,1,50.696,69
18,2,51.67854167,70
18,3,52.432,71
18,4,53.216,72
19,1,54.2081875,73
19,2,55.11733333,74
19,3,55.856,75
19,4,56.588,76
20,1,57.284,77
20,2,58,78
20,3,58.732,79
20,4,59.579,80
21,1,60.60991667,81
21,2,61.45864583,82
21,3,62.324,83
21,4,63.05283333,84
22,1,63.864,85
22,2,64.619375,86
22,3,65.324,87
22,4,66.06,88
23,1,66.86,89
23,2,67.612,90
23,3,68.32,91
23,4,68.936,92
24,1,69.63872917,93
24,2,70.324,94
24,3,70.996,95
24,4,71.69989583,96
25,1,72.46,97
25,2,73.148,98
25,3,73.856,99
25,4,74.512,100
26,1,75.232,101
26,2,76.088,102
26,3,76.672,103
26,4,77.284,104
27,1,78.008,105
27,2,78.82233333,106
27,3,79.42,107
27,4,80.124,108
28,1,81.216,109
28,2,81.992,110
28,3,82.592,111
28,4,83.4,112
29,1,84.650625,113
29,2,85.348,114
29,3,85.948,115
29,4,86.84764583,116
30,1,87.64577083,117
30,2,88.284,118
30,3,88.852,119
30,4,89.568,120
31,1,90.508,121
31,2,91.32,122
31,3,91.996,123
31,4,92.692,124
32,1,93.4,125
32,2,94.244,126
32,3,94.888,127
32,4,95.63616667,128
33,1,96.37445833,129
33,2,97.29208333,130
33,3,98.078375,131
33,4,98.72,132
34,1,99.5419375,133
34,2,100.244,134
34,3,100.9815,135
34,4,101.588,136
35,1,102.352,137
35,2,103.024,138
35,3,103.936,139
35,4,104.8144167,140
36,1,105.524,141
36,2,106.616,142
36,3,107.264,143
36,4,108.012,144
37,1,109.0201042,145
37,2,109.9765417,146
37,3,110.691,147
37,4,111.492,148
38,1,112.192,149
38,2,112.9275833,150
38,3,113.5990625,151
38,4,114.32,152
39,1,115.048,153
39,2,115.7,154
39,3,116.4,155
39,4,117.2725833,156
40,1,118.024,157
40,2,118.792375,158
40,3,119.5258958,159
40,4,120.22325,160
41,1,120.768,161
41,2,121.689375,162
41,3,122.3814583,163
41,4,123.1142917,164
42,1,124.1,165
42,2,124.9494375,166
42,3,125.6445833,167
42,4,126.3858333,168
43,1,127.08,169
43,2,127.784,170
43,3,128.432,171
43,4,129.1,172
44,1,129.817375,173
44,2,130.364,174
44,3,131.0941042,175
44,4,131.8193125,176
45,1,132.356,177
45,2,132.988,178
45,3,133.74,179
45,4,134.6020833,180
46,1,135.7,181
46,2,136.5134167,182
46,3,137.232,183
46,4,137.868,184
47,1,138.552,185
47,2,139.2402083,186
47,3,139.9279375,187
47,4,140.6135,188
48,1,141.2487292,189
48,2,141.9830833,190
48,3,142.661125,191
48,4,143.4656667,192
49,1,144.096,193
49,2,144.8626458,194
49,3,145.4315417,195
49,4,146.048,196
50,1,146.72,197
50,2,147.36,198
50,3,147.984,199
50,4,148.588,200
51,1,149.26,201
51,2,149.916,202
51,3,150.496,203
51,4,151.236,204
52,1,152.02,205
52,2,152.807375,206
52,3,153.524,207
52,4,154.2283125,208
53,1,154.92,209
53,2,155.6344167,210
53,3,156.4702292,211
53,4,157.52,212
54,1,158.256,213
54,2,159.1767708,214
54,3,159.764,215
54,4,160.4758333,216
55,1,161.5266042,217
55,2,162.3601875,218
55,3,163.308,219
55,4,164.16,220
56,1,164.9565208,221
56,2,165.6828333,222
56,3,166.4942708,223
56,4,167.2957083,224
57,1,168.42,225
57,2,169.192,226
57,3,170.192,227
57,4,171.1601667,228
58,1,172.028,229
58,2,172.824,230
58,3,173.68,231
58,4,174.548,232
59,1,175.444,233
59,2,176.104,234
59,3,176.876,235
59,4,177.7322708,236
60,1,178.437875,237
60,2,179.3159792,238
60,3,180.045375,239
60,4,180.852,240
61,1,181.948,241
61,2,183.1239375,242
61,3,184.308,243
61,4,184.988,244
62,1,185.932,245
62,2,187.04,246
62,3,187.772,247
62,4,188.6592708,248
63,1,189.6827708,249
63,2,190.8326667,250
63,3,191.996,251
63,4,193.0574375,252
64,1,193.728,253
64,2,194.66,254
64,3,195.36,255
64,4,195.996,256
65,1,197.2324792,257
65,2,198.384,258
65,3,199.232,259
65,4,200.176,260
66,1,201.0890208,261
66,2,202.032,262
66,3,202.8899167,263
66,4,203.868,264
67,1,204.8892292,265
67,2,205.968,266
67,3,206.828,267
67,4,207.852,268
68,1,209.1757292,269
68,2,210.496,270
68,3,211.108,271
68,4,212.689125,272
69,1,213.808,273